,data_compra,sku,produto,fornecedor,custo_bruto,comissoes_mktplace,frete,preco_venda,lucro_venda,dias_estoque,data_venda,marketplace_venda,cliente,localizacao
1339,2021-08-16,19334,ESCOVA ROT.MONDIAL ER-03 TOURMALINE 220V,FUJIOKA,128.9,35.68,21.54,209.9,22.65,21,2021-09-06,MAGALU,297ce216dde9d5d1a369,"São José dos Campos, São Paulo"
1340,2021-08-16,19922,BARBEADOR PHILIPS S1121/41 AQUATOUCH,FUJIOKA,168.86,44.18,16.45,259.9,4.42,77,2021-11-01,ML MHL TOOLS,cea7c2136912a7b286c4,"São João, PE"
1341,2021-08-16,19922,BARBEADOR PHILIPS S1121/41 AQUATOUCH,FUJIOKA,168.86,53.18,20.39,279.9,9.48,77,2021-11-01,ML MHL TOOLS,aff741cbaf289ec6838f,"Volta Redonda, RJ"
1342,2021-08-16,19696,APARADOR MONDIAL BG-03 10 EM 1 BIV 2,FUJIOKA,103.78,20.0,0.0,199.9,71.79,15,2021-08-31,OLIST,8adf84270f07544c525f,UTINGA - BA
1343,2021-08-16,19696,APARADOR MONDIAL BG-03 10 EM 1 BIV 2,FUJIOKA,103.78,21.74,0.0,169.9,42.25,21,2021-09-06,OLIST,309cd0a30dcee0c58b52,PORTO ALEGRE RS
1344,2021-08-16,19696,APARADOR MONDIAL BG-03 10 EM 1 BIV 2,FUJIOKA,103.78,21.75,0.0,169.9,42.24,23,2021-09-08,MAGALU,7756e82eb4998743f296,"SAO LEOPOLDO, RS"
1345,2021-08-16,19696,APARADOR MONDIAL BG-03 10 EM 1 BIV 2,FUJIOKA,103.78,61.57,0.0,199.9,30.22,23,2021-09-08,MAGALU,a20b3e3c4547e4c1c03c,TAUBATE - SP
1346,2021-08-16,19696,APARADOR MONDIAL BG-03 10 EM 1 BIV 2,FUJIOKA,103.78,21.75,0.0,169.9,42.24,28,2021-09-13,OLIST,0d58c5d48cd7cf82bb46,"IGREJINHA, RS"
1347,2021-08-16,19696,APARADOR MONDIAL BG-03 10 EM 1 BIV 2,FUJIOKA,103.78,21.75,0.0,169.9,42.24,39,2021-09-24,MAGALU,74997e6b89097164e1ea,"PARELHAS, RN"
1348,2021-08-10,7899658383121,CARRO C/R 7FUNCOES 1:16 EXTREM VERMELHO,ZEIN IMPORT,257.11,19.78,18.95,119.9,-187.93,204,2022-03-02,MAGALU,11913465e1c55cfb358a,"Araraquara, São Paulo"
